exper,days,strain,numSurv
1,8,6169,5
1,9,6169,5
1,10,6169,5
1,11,6169,5
1,12,6169,5
1,13,6169,5
1,14,6169,5
1,15,6169,5
1,16,6169,5
1,17,6169,2
1,18,6169,2
1,19,6169,2
1,20,6169,2
1,21,6169,2
1,22,6169,2
1,23,6169,2
1,24,6169,0
1,25,6169,0
1,26,6169,0
1,27,6169,0
1,28,6169,0
1,29,6169,0
1,30,6169,0
1,31,6169,0
1,32,6169,0
1,33,6169,0
1,34,6169,0
1,0,6704,5
1,1,6704,5
1,2,6704,5
1,3,6704,5
1,4,6704,5
1,5,6704,5
1,6,6704,5
1,7,6704,5
1,8,6704,5
1,9,6704,5
1,10,6704,5
1,11,6704,5
1,12,6704,5
1,13,6704,5
1,14,6704,5
1,15,6704,5
1,16,6704,5
1,17,6704,1
1,18,6704,0
1,19,6704,0
1,20,6704,0
1,21,6704,0
1,22,6704,0
1,23,6704,0
1,24,6704,0
1,25,6704,0
1,26,6704,0
1,27,6704,0
1,28,6704,0
1,29,6704,0
1,30,6704,0
1,31,6704,0
1,32,6704,0
1,33,6704,0
1,34,6704,0
1,0,6876,5
1,1,6876,5
1,2,6876,5
1,3,6876,5
1,4,6876,5
1,5,6876,5
1,6,6876,5
1,7,6876,5
1,8,6876,5
1,9,6876,5
1,10,6876,5
1,11,6876,5
1,12,6876,5
1,13,6876,5
1,14,6876,5
1,15,6876,5
1,16,6876,5
1,17,6876,3
1,18,6876,3
1,19,6876,0
1,20,6876,0
1,21,6876,0
1,22,6876,0
1,23,6876,0
1,24,6876,0
1,25,6876,0
1,26,6876,0
1,27,6876,0
1,28,6876,0
1,29,6876,0
1,30,6876,0
1,31,6876,0
1,32,6876,0
1,33,6876,0
1,34,6876,0
1,0,7837,4
1,1,7837,4
1,2,7837,4
1,3,7837,4
1,4,7837,4
1,5,7837,4
1,6,7837,4
1,7,7837,4
1,8,7837,4
1,9,7837,4
1,10,7837,4
1,11,7837,4
1,12,7837,4
1,13,7837,4
1,14,7837,4
1,15,7837,4
1,16,7837,4
1,17,7837,3
1,18,7837,0
1,19,7837,0
1,20,7837,0
1,21,7837,0
1,22,7837,0
1,23,7837,0
1,24,7837,0
1,25,7837,0
1,26,7837,0
1,27,7837,0
1,28,7837,0
1,29,7837,0
1,30,7837,0
1,31,7837,0
1,32,7837,0
1,33,7837,0
1,34,7837,0
1,0,KN99,5
1,1,KN99,5
1,2,KN99,5
1,3,KN99,5
1,4,KN99,5
1,5,KN99,5
1,6,KN99,5
1,7,KN99,5
1,8,KN99,5
1,9,KN99,5
1,10,KN99,5
1,11,KN99,5
1,12,KN99,5
1,13,KN99,5
1,14,KN99,5
1,15,KN99,5
1,16,KN99,5
1,17,KN99,5
1,18,KN99,1
1,19,KN99,1
1,20,KN99,1
1,21,KN99,1
1,22,KN99,1
1,23,KN99,1
1,24,KN99,0
1,25,KN99,0
1,26,KN99,0
1,27,KN99,0
1,28,KN99,0
1,29,KN99,0
1,30,KN99,0
1,31,KN99,0
1,32,KN99,0
1,33,KN99,0
1,34,KN99,0
2,1,KN99,5
2,2,KN99,5
2,3,KN99,5
2,4,KN99,5
2,5,KN99,5
2,6,KN99,5
2,7,KN99,5
2,8,KN99,5
2,9,KN99,5
2,10,KN99,5
2,11,KN99,5
2,12,KN99,5
2,13,KN99,5
2,14,KN99,5
2,15,KN99,5
2,16,KN99,5
2,17,KN99,5
2,18,KN99,4
2,19,KN99,4
2,20,KN99,3
2,21,KN99,3
2,22,KN99,2
2,23,KN99,0
2,24,KN99,0
2,1,ITR4comp,5
2,2,ITR4comp,5
2,3,ITR4comp,5
2,4,ITR4comp,5
2,5,ITR4comp,5
2,6,ITR4comp,5
2,7,ITR4comp,5
2,8,ITR4comp,5
2,9,ITR4comp,5
2,10,ITR4comp,5
2,11,ITR4comp,5
2,12,ITR4comp,5
2,13,ITR4comp,5
2,14,ITR4comp,5
2,15,ITR4comp,5
2,16,ITR4comp,5
2,17,ITR4comp,5
2,18,ITR4comp,5
2,19,ITR4comp,5
2,20,ITR4comp,4
2,21,ITR4comp,0
2,22,ITR4comp,0
2,23,ITR4comp,0
2,24,ITR4comp,0
2,1,5937,5
2,2,5937,5
2,3,5937,5
2,4,5937,5
2,5,5937,5
2,6,5937,5
2,7,5937,5
2,8,5937,5
2,9,5937,5
2,10,5937,5
2,11,5937,5
2,12,5937,5
2,13,5937,5
2,14,5937,5
2,15,5937,5
2,16,5937,5
2,17,5937,5
2,18,5937,5
2,19,5937,5
2,20,5937,3
2,21,5937,3
2,22,5937,1
2,23,5937,0
2,24,5937,0
2,1,6490,5
2,2,6490,5
2,3,6490,5
2,4,6490,5
2,5,6490,5
2,6,6490,5
2,7,6490,5
2,8,6490,5
2,9,6490,5
2,10,6490,5
2,11,6490,5
2,12,6490,5
2,13,6490,5
2,14,6490,5
2,15,6490,5
2,16,6490,5
2,17,6490,5
2,18,6490,5
2,19,6490,4
2,20,6490,4
2,21,6490,1
2,22,6490,1
2,23,6490,0
2,24,6490,0
2,1,6986,5
2,2,6986,5
2,3,6986,5
2,4,6986,5
2,5,6986,5
2,6,6986,5
2,7,6986,5
2,8,6986,5
2,9,6986,5
2,10,6986,5
2,11,6986,5
2,12,6986,5
2,13,6986,5
2,14,6986,5
2,15,6986,5
2,16,6986,5
2,17,6986,5
2,18,6986,5
2,19,6986,4
2,20,6986,4
2,21,6986,4
2,22,6986,4
2,23,6986,0
2,24,6986,0
ITR,1,KN99,10
ITR,2,KN99,10
ITR,3,KN99,10
ITR,4,KN99,10
ITR,5,KN99,10
ITR,6,KN99,10
ITR,7,KN99,10
ITR,8,KN99,10
ITR,9,KN99,10
ITR,10,KN99,10
ITR,11,KN99,10
ITR,12,KN99,10
ITR,13,KN99,10
ITR,14,KN99,10
ITR,15,KN99,10
ITR,16,KN99,10
ITR,17,KN99,10
ITR,18,KN99,10
ITR,19,KN99,9
ITR,20,KN99,7
ITR,21,KN99,6
ITR,22,KN99,4
ITR,23,KN99,1
ITR,24,KN99,0
ITR,25,KN99,0
ITR,26,KN99,0
ITR,27,KN99,0
ITR,28,KN99,0
ITR,29,KN99,0
ITR,30,KN99,0
ITR,31,KN99,0
ITR,32,KN99,0
ITR,33,KN99,0
ITR,34,KN99,0
ITR,35,KN99,0
ITR,36,KN99,0
ITR,37,KN99,0
ITR,38,KN99,0
ITR,39,KN99,0
ITR,40,KN99,0
ITR,41,KN99,0
ITR,42,KN99,0
ITR,43,KN99,0
ITR,44,KN99,0
ITR,1,itr4D,10
ITR,2,itr4D,10
ITR,3,itr4D,10
ITR,4,itr4D,10
ITR,5,itr4D,10
ITR,6,itr4D,10
ITR,7,itr4D,10
ITR,8,itr4D,10
ITR,9,itr4D,10
ITR,10,itr4D,10
ITR,11,itr4D,10
ITR,12,itr4D,10
ITR,13,itr4D,10
ITR,14,itr4D,10
ITR,15,itr4D,10
ITR,16,itr4D,10
ITR,17,itr4D,10
ITR,18,itr4D,10
ITR,19,itr4D,10
ITR,20,itr4D,10
ITR,21,itr4D,9
ITR,22,itr4D,7
ITR,23,itr4D,5
ITR,24,itr4D,5
ITR,25,itr4D,5
ITR,26,itr4D,4
ITR,27,itr4D,3
ITR,28,itr4D,3
ITR,29,itr4D,3
ITR,30,itr4D,3
ITR,31,itr4D,3
ITR,32,itr4D,3
ITR,33,itr4D,3
ITR,34,itr4D,3
ITR,35,itr4D,3
ITR,36,itr4D,3
ITR,37,itr4D,3
ITR,38,itr4D,3
ITR,39,itr4D,3
ITR,40,itr4D,3
ITR,41,itr4D,3
ITR,42,itr4D,3
ITR,43,itr4D,3
ITR,44,itr4D,3
ITR,1,ITR4comp,10
ITR,2,ITR4comp,10
ITR,3,ITR4comp,10
ITR,4,ITR4comp,10
ITR,5,ITR4comp,10
ITR,6,ITR4comp,10
ITR,7,ITR4comp,10
ITR,8,ITR4comp,10
ITR,9,ITR4comp,10
ITR,10,ITR4comp,10
ITR,11,ITR4comp,10
ITR,12,ITR4comp,10
ITR,13,ITR4comp,10
ITR,14,ITR4comp,10
ITR,15,ITR4comp,10
ITR,16,ITR4comp,10
ITR,17,ITR4comp,10
ITR,18,ITR4comp,10
ITR,19,ITR4comp,10
ITR,20,ITR4comp,9
ITR,21,ITR4comp,7
ITR,22,ITR4comp,3
ITR,23,ITR4comp,2
ITR,24,ITR4comp,2
ITR,25,ITR4comp,1
ITR,26,ITR4comp,0
ITR,27,ITR4comp,0
ITR,28,ITR4comp,0
ITR,29,ITR4comp,0
ITR,30,ITR4comp,0
ITR,31,ITR4comp,0
ITR,32,ITR4comp,0
ITR,33,ITR4comp,0
ITR,34,ITR4comp,0
ITR,35,ITR4comp,0
ITR,36,ITR4comp,0
ITR,37,ITR4comp,0
ITR,38,ITR4comp,0
ITR,39,ITR4comp,0
ITR,40,ITR4comp,0
ITR,41,ITR4comp,0
ITR,42,ITR4comp,0
ITR,43,ITR4comp,0
